,xi_real
count,2091994.0
mean,11.772360661040086
std,32.89879392368752
min,3.566841e-05
1%,0.007428728
10%,0.073145866
25%,0.67117649
50%,3.6576023500000003
75%,10.696353
90%,26.907417
99%,130.04329
max,3522.1465
