,permno
count,2091994.0
mean,45486.17182697465
std,29151.600571307983
min,10001.0
1%,10107.0
10%,12079.0
25%,16432.0
50%,42534.0
75%,76559.0
90%,87418.0
99%,91937.0
max,93436.0
