,withdrawn
count,2091994.0
mean,8.699833747133118e-05
std,0.009326886422774412
min,0.0
1%,0.0
10%,0.0
25%,0.0
50%,0.0
75%,0.0
90%,0.0
99%,0.0
max,1.0
