,xi_nominal
count,2091994.0
mean,23.93035230969678
std,66.27663289393132
min,6.573688e-05
1%,0.013699238
10%,0.13228785
25%,1.1677768
50%,6.68011
75%,21.115438
90%,55.547192
99%,270.06427
max,6128.5352
